Age,Sex,Job,job_desc,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,default_flag,age_band,amount_per_month,checking_missing,amount_vs_purpose_avg,amount_per_age,long_term_loan,high_amount,thin_file
21,female,2,skilled,own,moderate,NA,10144,60,radio/TV,0,under_30,169.1,1,7656.0,483.0,1,1,0
21,female,2,skilled,rent,NA,NA,1126,18,radio/TV,0,under_30,62.6,1,-1362.0,53.6,0,0,1
21,male,2,skilled,own,little,NA,15653,60,radio/TV,0,under_30,260.9,1,13165.0,745.4,1,1,0
21,female,2,skilled,own,NA,NA,886,12,radio/TV,0,under_30,73.8,1,-1602.0,42.2,0,0,1
22,male,2,skilled,own,little,NA,1478,9,radio/TV,1,under_30,164.2,1,-1010.0,67.2,0,0,0
22,female,2,skilled,rent,little,NA,433,18,radio/TV,1,under_30,24.1,1,-2055.0,19.7,0,0,0
24,female,2,skilled,own,little,NA,932,6,radio/TV,0,under_30,155.3,1,-1556.0,38.8,0,0,0
24,male,2,skilled,own,little,NA,1800,18,radio/TV,0,under_30,100.0,1,-688.0,75.0,0,0,0
24,female,2,skilled,rent,little,NA,1554,6,radio/TV,0,under_30,259.0,1,-934.0,64.8,0,0,0
25,male,2,skilled,own,little,NA,1262,12,radio/TV,0,under_30,105.2,1,-1226.0,50.5,0,0,0
25,female,2,skilled,own,NA,NA,2394,36,radio/TV,0,under_30,66.5,1,-94.0,95.8,1,0,1
25,male,2,skilled,own,NA,NA,999,24,radio/TV,0,under_30,41.6,1,-1489.0,40.0,0,0,1
25,female,2,skilled,own,little,NA,2238,18,radio/TV,0,under_30,124.3,1,-250.0,89.5,0,0,0
25,male,2,skilled,own,NA,NA,3105,24,radio/TV,0,under_30,129.4,1,617.0,124.2,0,0,1
25,female,2,skilled,own,little,NA,5771,30,radio/TV,0,under_30,192.4,1,3283.0,230.8,1,1,0
26,female,2,skilled,own,little,NA,3181,24,radio/TV,0,under_30,132.5,1,693.0,122.3,0,0,0
26,female,2,skilled,own,little,NA,2404,18,radio/TV,0,under_30,133.6,1,-84.0,92.5,0,0,0
26,male,3,highly_skilled,own,little,NA,4463,36,radio/TV,1,under_30,124.0,1,1975.0,171.7,1,1,0
26,male,3,highly_skilled,own,quite rich,NA,3235,24,radio/TV,0,under_30,134.8,1,747.0,124.4,0,0,0
26,male,2,skilled,own,little,NA,1934,12,radio/TV,0,under_30,161.2,1,-554.0,74.4,0,0,0
26,male,2,skilled,own,moderate,NA,1311,24,radio/TV,0,under_30,54.6,1,-1177.0,50.4,0,0,0
26,female,3,highly_skilled,rent,little,NA,4530,30,radio/TV,0,under_30,151.0,1,2042.0,174.2,1,1,0
26,female,2,skilled,own,little,NA,1453,18,radio/TV,0,under_30,80.7,1,-1035.0,55.9,0,0,0
27,female,2,skilled,own,moderate,NA,1237,6,radio/TV,0,under_30,206.2,1,-1251.0,45.8,0,0,0
